Date,Open,High,Low,Close ,Adj Close ,Volume
22-Apr-24,32,33.8,31.2,33.45,33.03,"7,183,322"
19-Apr-24,31.85,32.2,31.05,31.5,31.104,"3,815,776"
18-Apr-24,30.6,32.2,30.6,31.8,31.4,"7,444,606"
17-Apr-24,30.65,30.9,29.75,30.55,30.166,"4,316,948"
16-Apr-24,31,31.1,30.05,30.25,29.87,"3,444,772"
15-Apr-24,30.85,31.55,30.25,31,30.61,"4,591,672"
12-Apr-24,30.55,31.65,30.25,31.3,30.907,"10,075,806"
11-Apr-24,28.65,30.25,28.3,30.15,29.771,"11,056,079"
10-Apr-24,29.5,30.1,28.2,28.7,28.339,"9,801,603"
9-Apr-24,29.45,30,28.85,29.3,28.932,"4,203,580"
8-Apr-24,29.3,30.25,28.8,29.45,29.08,"4,790,276"
5-Apr-24,29.75,29.95,28.65,29.4,29.03,"1,830,217"
3-Apr-24,29.85,30.35,29.25,29.6,29.228,"8,359,074"
2-Apr-24,29.2,30.25,29,29.85,29.475,"16,452,226"
28-Mar-24,28.3,29.2,28.1,28.75,28.389,"6,129,624"
27-Mar-24,28.2,28.65,27.45,28.35,27.994,"6,138,041"
26-Mar-24,27.9,28.8,27.85,28.3,27.944,"11,288,821"
25-Mar-24,27.6,28,27,27.6,27.253,"6,352,638"
22-Mar-24,27.75,28.15,27.1,27.65,27.302,"24,221,124"
21-Mar-24,25.6,29,25.6,28.65,28.29,"33,861,307"
20-Mar-24,23,24.8,22.9,24.7,24.39,"11,279,415"
19-Mar-24,23.4,23.6,22.6,23,22.711,"6,132,117"
18-Mar-24,23.7,23.7,22.65,23.4,23.106,"6,617,106"
15-Mar-24,23.5,23.6,23.05,23.4,23.106,"4,335,644"
14-Mar-24,23.5,23.8,23.15,23.55,23.254,"4,395,306"
13-Mar-24,23.65,23.75,23.15,23.45,23.155,"3,745,264"
12-Mar-24,22.45,23.5,22.35,23.45,23.155,"7,783,970"
11-Mar-24,21.2,22.7,21.2,22.45,22.168,"4,509,238"
8-Mar-24,21.5,22.05,21.15,21.25,20.983,"2,146,000"
7-Mar-24,21.9,21.9,21.3,21.65,21.378,"2,469,332"
6-Mar-24,20.6,21.95,20.45,21.7,21.427,"2,668,772"
5-Mar-24,21.45,21.8,20.65,20.75,20.489,"3,023,991"
4-Mar-24,21.2,22.1,20.9,21.9,21.625,"4,603,233"
1-Mar-24,19.56,21.6,19.48,21.15,20.884,"7,612,177"
29-Feb-24,19.24,19.68,19.12,19.58,19.334,"6,792,139"
28-Feb-24,19.76,20.25,19.1,19.24,18.998,"3,492,800"
27-Feb-24,19.52,20.15,19.26,19.96,19.709,"3,336,314"
26-Feb-24,20,20.4,19.44,19.62,19.373,"2,514,403"
23-Feb-24,19.02,20.5,18.8,20.1,19.847,"5,587,885"
22-Feb-24,19.12,19.28,18.68,19.24,18.998,"3,457,800"
21-Feb-24,18.46,19.36,18.24,19.16,18.919,"5,660,902"
20-Feb-24,18.8,19.2,18.3,18.56,18.327,"1,589,594"
19-Feb-24,19.1,19.1,18.36,18.6,18.366,"2,928,000"
16-Feb-24,18.32,19.26,18.18,19.2,18.959,"1,182,350"
15-Feb-24,18.04,18.5,17.82,18.38,18.149,"1,117,706"
14-Feb-24,17.68,18.2,17.36,18.16,17.932,"914,384"
9-Feb-24,17.7,17.7,17.7,17.7,17.478,-
8-Feb-24,17.9,18.32,17.78,18.18,17.951,"1,744,114"
7-Feb-24,18.58,18.76,17.82,17.9,17.675,"2,806,668"
6-Feb-24,17.32,18.4,17.24,18.34,18.109,"4,614,580"
5-Feb-24,17.24,17.5,16.9,17.18,16.964,"3,474,223"
2-Feb-24,18.32,18.8,17.44,17.5,17.28,"3,829,714"
1-Feb-24,17.52,18.32,17.26,18.08,17.853,"4,579,200"
31-Jan-24,17.9,18.5,17.22,17.52,17.3,"3,742,600"
30-Jan-24,18.78,18.78,17.76,18.12,17.892,"3,279,631"
29-Jan-24,18.7,19.24,18.5,18.84,18.603,"2,774,864"
26-Jan-24,19,19.38,18.4,18.54,18.307,"3,305,528"
25-Jan-24,18.74,19.1,18.44,19.04,18.801,"3,223,029"
24-Jan-24,18.4,19.12,17.92,18.7,18.465,"6,616,022"
23-Jan-24,17.34,18.44,17.2,17.94,17.714,"12,625,487"
22-Jan-24,18.9,18.9,16.98,17.22,17.004,"14,629,148"
19-Jan-24,19.22,19.3,18.52,18.74,18.504,"2,580,189"
18-Jan-24,19.22,19.56,18.42,19.04,18.801,"5,197,000"
17-Jan-24,20.1,20.1,19.08,19.22,18.978,"4,994,819"
16-Jan-24,20.2,20.35,19.72,20,19.749,"1,709,000"
15-Jan-24,19.98,19.98,19.98,19.98,19.729,-
12-Jan-24,19.52,20.45,19.52,20.1,19.847,"3,993,798"
11-Jan-24,19.94,20.15,19.68,19.84,19.591,"3,463,800"
10-Jan-24,19,19.96,18.72,19.94,19.689,"5,036,963"
9-Jan-24,18.72,19.36,18.2,19,18.761,"4,362,300"
8-Jan-24,18.94,19.22,18.4,18.72,18.485,"8,269,926"
5-Jan-24,19.12,19.5,18.74,18.94,18.702,"3,458,400"
4-Jan-24,19.66,19.7,19.3,19.6,19.354,"1,948,000"
3-Jan-24,19.7,19.84,19.36,19.66,19.413,"2,738,336"
2-Jan-24,20,20.6,19.78,19.94,19.689,"2,415,854"
29-Dec-23,20.05,21,19.82,20.25,19.995,"5,445,500"
28-Dec-23,19.2,20.25,19.2,20.05,19.798,"3,336,360"
27-Dec-23,19.32,19.54,18.7,19.12,18.88,"5,037,673"
22-Dec-23,19.9,20.2,18.98,19.26,19.018,"6,939,000"
21-Dec-23,19.9,20.1,19.56,19.9,19.65,"1,539,077"
20-Dec-23,20.15,20.5,19.8,20,19.749,"2,288,500"
19-Dec-23,20.5,20.5,19.8,19.98,19.729,"1,848,600"
18-Dec-23,20.5,20.75,20.15,20.35,20.094,"2,141,744"
15-Dec-23,20.25,21.3,20.05,20.8,20.539,"5,211,343"
14-Dec-23,20.3,21,20.05,20.25,19.995,"1,709,992"
13-Dec-23,20.5,20.55,19.86,20.3,20.045,"2,376,300"
12-Dec-23,20.45,20.9,20.3,20.55,20.292,"1,898,800"
11-Dec-23,19.82,20.65,19.22,20.45,20.193,"4,794,857"
8-Dec-23,20.8,20.9,19.7,19.94,19.689,"10,075,560"
7-Dec-23,21,21,20.2,20.8,20.539,"3,237,830"
6-Dec-23,21.1,21.6,20.9,21.15,20.884,"2,752,741"
5-Dec-23,22.25,22.35,20.5,21.1,20.835,"10,488,134"
4-Dec-23,22.95,23.05,22.15,22.25,21.97,"3,351,923"
1-Dec-23,22.85,23.45,22.45,22.95,22.662,"3,939,511"
30-Nov-23,23.15,23.55,22.75,23.45,23.155,"4,846,157"
29-Nov-23,24.25,24.6,22.95,23.15,22.859,"5,666,200"
28-Nov-23,24.05,24.55,23.65,24.2,23.896,"2,157,066"
27-Nov-23,23.9,24.2,23.6,23.95,23.649,"1,595,000"
24-Nov-23,24.05,24.15,23.7,23.85,23.55,"1,249,800"
23-Nov-23,23.95,24.5,23.45,24.15,23.846,"2,822,974"
22-Nov-23,23.55,24.4,23,23.95,23.649,"4,350,110"
21-Nov-23,23.65,25.2,23.6,23.75,23.451,"7,136,968"
20-Nov-23,22.8,23.5,22.35,23.3,23.007,"2,199,500"
17-Nov-23,23.25,23.35,22.5,22.6,22.316,"2,531,800"
16-Nov-23,23.6,23.75,22.65,23.25,22.958,"2,477,510"
15-Nov-23,23.5,23.7,23,23.45,23.155,"3,583,848"
